Word	Simplified	Traditional	Pinyin	Yale (provisional)	IPA
Sampson	桑普森	桑普森	Sāngpǔsēn	Sōng-póu-sām	
Sams	萨姆斯	薩姆斯	Sàmǔsī	Saat-móuh-sī	
Samson	参孙	參孫	Cānsūn	Sām-syūn	sˈæmsən
Samtredia	萨姆特雷迪亚	薩姆特雷迪亞	Sàmǔtèléidíyà	Saat-móuh-dahk-lèuih-dihk-nga	
Samuel (Bible)	撒母耳	撒母耳	Sāmǔ'ěr	Saat-móuh-yíh	sˈæmjʉːəl
1 Samuel (Bible book)	撒母耳记上	撒母耳記上	Sāmǔ'ěrjì Shàng	Saat-móuh-yíh-gei Séuhng	
2 Samuel (Bible book)	撒母耳记下	撒母耳記下	Sāmǔ'ěrjì Xià	Saat-móuh-yíh-gei Hah	
1 Samuel (book, Catholic version)	撒慕尔纪上	撒慕爾紀上	Sāmù'ěrjì Shàng	Saat-mouh-yíh-géi Séuhng	
2 Samuel (book, Catholic version)	撒慕尔纪下	撒慕爾紀下	Sāmù'ěrjì Xià	Saat-mouh-yíh-géi Hah	
Samuel (modern)	塞缪尔	塞繆爾	Sàimiào'ěr	Choi-màuh-yíh	sˈæmjʉːəl
Samuel (modern)	萨缪尔	薩繆爾	Sàmiào'ěr	Saat-màuh-yíh	
Samuel (modern, in some languages)	萨穆埃尔	薩穆埃爾	Sàmù'āi'ěr	Saat-muhk-āai-yíh	sˈæmjʉːəl
Samuel (Pepys)	塞穆尔	塞穆爾	Sàimù'ěr	Choi-muhk-yíh	
Samuelson	塞缪尔森	塞繆爾森	Sàimiào'ěrsēn	Choi-màuh-yíh-sām	
Samuel，Books of	撒母耳记上下	撒母耳記上下	Sāmǔ'ěrjì Shàng-xià	Saat-móuh-yíh-gei Seuhng-hah	
Sana	萨那	薩那	Sànà	Saat-náh	
Sanballat	桑巴拉	桑巴拉	Sāngbālā	Sōng-bā-lāai	sˌænbˈælət
Sancho	桑乔	桑喬	Sāngqiáo	Sōng-kìuh	
Sanchong District (in New Taipei)	三重区	三重區	Sānchóng Qū	Sāam-chùhng Kēui	
San Cristóbal	圣克里斯托瓦尔	聖克里斯托瓦爾	Shèngkèlǐsītuōwǎ'ěr	Sing-hāk-léih-sī-tok-ngáh-yíh	
sanctification (by a church)	神圣化	神聖化	shénshènghuà	sàhn-sing-fa	sˈæŋktɪfaɪ
sanctify; make holy; consecrate	成圣	成聖	chéngshèng	sìhng-sing	sˈæŋktɪfaɪ
sanctify oneself; cleanse oneself	自洁	自潔	zìjié	jih-git	
Sandage	桑德奇	桑德奇	Sāngdéqí	Sōng-dāk-kèih	
Sandanski	桑丹斯基	桑丹斯基	Sāngdānsījī	Sōng-dāan-sī-gēi	
Sandawe (language)	桑达韦语	桑達韋語	Sāngdáwéiyǔ	Sōng-daaht-wáih-yúh	
<comp.> sandbox	沙盒	沙盒	shāhé	sā-hahp	
sandcastle worm	沙塔蠕虫	沙塔蠕蟲	shātǎrúchóng	sā-taap-yùh-chùhng	
sand eel	沙鳗	沙鰻	shāmán	sā-màahn	
Sandeman	桑德曼	桑德曼	Sāngdémàn	Sōng-dāk-maahn	
Sandemanians	桑德曼派	桑德曼派	Sāngdémànpài	Sōng-dāk-maahn-paai	
Sanders	桑德斯	桑德斯	Sāngdésī	Sōng-dāk-sī	
Sanderson	桑德森	桑德森	Sāngdésēn	Sōng-dāk-sām	
San Diego	圣迭戈	聖迭戈	Shèngdiégē	Sing-diht-gwō	
San Diego (alternate translation)	圣地牙哥	聖地牙哥	Shèngdìyágē	Sing-deih-ngàh-gō	
sanding machine	打磨机	打磨機	dǎmójī	dá-mòh-gēi	
Sandner	桑德纳	桑德納	Sāngdénà	Sōng-dāk-naahp	
Sandra	桑德拉	桑德拉	Sāngdélā	Sōng-dāk-lāai	sˈɑndɹə
Sandro	桑德罗	桑德羅	Sāngdéluó	Sōng-dāk-lòh	
sands of the seas	海沙	海沙	hǎishā	hói-sā	
Sandu (county, in Guizhou)	三都县	三都縣	Sāndū Xiàn	Sāam-dōu Yún	
sandwich spread	三明治果酱	三明治果醬	sānmíngzhì guǒjiàng	sāam-mìhng-jih gwó-jeung	
Sandy	桑迪	桑迪	Sāngdí	Sōng-dihk	
Sanford	桑福德	桑福德	Sāngfúdé	Sōng-fūk-dāk	
Sangatte	桑加特	桑加特	Sāngjiātè	Sōng-gā-dahk	
Sanger	桑格	桑格	Sānggé	Sōng-gaak	
Sang Lan (disability rights activist)	桑兰	桑蘭	Sānglán	Sōng-làahn	
Sango (language)	桑戈语	桑戈語	Sānggēyǔ	Sōng-gwō-yúh	sˈɑŋɡəʊ
Sangri County	桑日县	桑日縣	Sāngrì Xiàn	Sōng-yaht Yún	
Sangzhi (county, in Hunan)	桑植县	桑植縣	Sāngzhí Xiàn	Sōng-jihk Yún	
Sangzhuzi District	桑珠孜区	桑珠孜區	Sāngzhūzī Qū	Sōng-jyū-jī Kēui	
Sanhedrin	公议会	公議會	gōngyìhuì	gūng-yi-wúi	sˈænhɪdɹən
Sanhedrin 	犹太公会	猶太公會	Yóutàigōnghuì	Yàuh-taai-gūng-wúi	sˈænhɪdɹən
Sanhe (in Hebei)	三河	三河	Sānhé	Sāam-hòh	
Sanhe (in Hebei)	三河市	三河市	Sānhé Shì	Sāam-hòh Síh	
sanhu (3-stringed erhu)	三胡	三胡	sānhú	sāam-wùh	
Sanjay	桑贾伊	桑賈伊	Sāngjiǎyī	Sōng-gá-yī	
Sanjiang (county, in Guangxi)	三江县	三江縣	Sānjiāng Xiàn	Sāam-gōng Yún	
San Joaquin Valley	圣华金河谷	聖華金河谷	Shènghuájīn Hégǔ	Sing-wàh-gām Hòh-gūk	
San José (pinyin uncertain)	圣何塞	聖何塞	Shènghésài	Sing-hòh-choi	
San Juan	圣胡安	聖胡安	Shènghú'ān	Sing-wùh-ngōn	
San Luis Potosi	圣路易斯波托西	聖路易斯波托西	Shènglùyìsī Bōtuōxī	Sing-louh-yih-sī Bō-tok-sāi	
Sanmen (county, in Zhejiang)	三门县	三門縣	Sānmén Xiàn	Sāam-mùhn Yún	
Sanmenxia (in Henan)	三门峡	三門峽	Sānménxiá	Sāam-mùhn-haahp	
Sanmenxia (in Henan)	三门峡市	三門峽市	Sānménxiá Shì	Sāam-mùhn-haahp Síh	
Sanmin District (in Kaohsiung)	三民区	三民區	Sānmín Qū	Sāam-màhn Kēui	
Sanming (in Fujian)	三明市	三明市	Sānmíng Shì	Sāam-mìhng Síh	
Sanna	桑纳	桑納	Sāngnà	Sōng-naahp	
sans-serif (typeface)	无衬线体	無襯線體	wúchènxiàntǐ	mòuh-chan-sin-tái	
Sansha (in Hainan)	三沙	三沙	Sānshā	Sāam-sā	
Sansha (in Hainan)	三沙市	三沙市	Sānshā Shì	Sāam-sā Síh	
Sanshan District	三山区	三山區	Sānshān Qū	Sāam-sāan Kēui	
Sanshui District	三水区	三水區	Sānshuǐ Qū	Sāam-séui Kēui	
Sansui (county, in Guizhou)	三穗县	三穗縣	Sānsuì Xiàn	Sāam-seuih Yún	
Santa Claus	圣克劳斯	聖克勞斯	Shèng Kèláosī	Sing Hāk-lòuh-sī	
Santa Cruz (Bolivia)	圣克鲁斯	聖克魯斯	Shèng Kèlǔsī	Sing Hāk-lóuh-sī	
Santa Fe (county)	圣菲省	聖菲省	Shèngfēishěng	Sing-fēi-sáang	
Santai (county, in Sichuan)	三台县	三台縣	Sāntái Xiàn	Sāam-tòih Yún	
Santa Maria	圣玛利亚	聖瑪利亞	Shèng Mǎlìyà	Sing Máh-leih-nga	
Santander (Spanish port)	桑坦德	桑坦德	Sāngtǎndé	Sōng-táan-dāk	
Santhali (language)	桑塔利语	桑塔利語	Sāngtǎlìyǔ	Sōng-taap-leih-yúh	
Santi Asoke (Buddhist political group)	善地阿索	善地阿索	Shàndì Āsuǒ	Sihn-deih A-sok	
Santo Domingo	圣多明各	聖多明各	Shèngduōmínggè	Sing-dō-mìhng-gok	
Santo Domingo de Pirón	桑托多明戈德皮龙	桑托多明戈德皮龍	Sāngtuō Duōmínggē Dépílóng	Sōng-tok Dō-mìhng-gwō Dāk-pèih-lùhng	
Santo Domingo (older translation)	圣多明哥	聖多明哥	Shèngduōmínggē	Sing-dō-mìhng-gō	
Santos	山度士	山度士	Shāndùshì	Sāan-douh-sih	
Santos	桑托斯	桑托斯	Sāngtuōsī	Sōng-tok-sī	sˈæntɒs
Sant’Andrea	圣安德烈	聖安德烈	Shèng Āndéliè	Sing Ngōn-dāk-liht	
Sanxia District (in New Taipei)	三峡区	三峽區	Sānxiá Qū	Sāam-haahp Kēui	
Sanya (in Hainan)	三亚	三亞	Sānyà	Sāam-nga	
Sanya (in Hainan)	三亚市	三亞市	Sānyà Shì	Sāam-nga Síh	
Sanyuan (county, in Shaanxi)	三原县	三原縣	Sānyuán Xiàn	Sāam-yùhn Yún	
Sanyuan District	三元区	三元區	Sānyuán Qū	Sāam-yùhn Kēui	
Sanz	桑斯	桑斯	Sāngsī	Sōng-sī	
Sanzhi District (in New Taipei)	三芝区	三芝區	Sānzhī Qū	Sāam-jī Kēui	
Saph	撒弗	撒弗	Sāfú	Saat-fāt	sˈæf
Sapor	沙普尔	沙普爾	Shāpǔ'ěr	Sā-póu-yíh	
Sapphira	撒非拉	撒非拉	Sāfēilā	Saat-fēi-lāai	səfˈaɪɹʌ
Sapphira (old translation?)	撒非喇	撒非喇	Sāfēilā	Saat-fēi-lā	səfˈaɪɹʌ
Saqqara	塞加拉	塞加拉	Sàijiālā	Choi-gā-lāai	
Sarah (Bible)	撒拉	撒拉	Sālā	Saat-lāai	sˈɛːɹə
Sarah (modern)	莎拉	莎拉	Shālā	Sā-lāai	sˈɛːɹə
Sarah (modern)	萨拉	薩拉	Sàlā	Saat-lāai	
Sarai	撒莱	撒萊	Sālái	Saat-lòih	sˈɛɹaɪ
Saransk	萨兰斯克	薩蘭斯克	Sàlánsīkè	Saat-làahn-sī-hāk	
Saransk (place)	萨兰斯克市	薩蘭斯克市	Sàlánsīkè Shì	Saat-làahn-sī-hāk Síh	
Saraph	萨拉非	薩拉非	Sàlāfēi	Saat-lāai-fēi	sˈeɪɹæf
Sarasate	萨拉萨特	薩拉薩特	Sàlāsàtè	Saat-lāai-saat-dahk	
Saratov	萨拉托夫	薩拉托夫	Sàlātuōfū	Saat-lāai-tok-fū	
Sardinia	撒丁尼亚	撒丁尼亞	Sādīngníyà	Saat-dīng-nèih-nga	
Sardinia	萨迪尼亚	薩迪尼亞	Sàdíníyà	Saat-dihk-nèih-nga	
Sardis	撒狄	撒狄	Sādí	Saat-dihk	sˈɑdɪs
sardius	肉红玉髓	肉紅玉髓	ròuhóng yùsuǐ	yuhk-hùhng yuhk-séuih	
sardonyx	缠丝玛瑙	纏絲瑪瑙	chánsīmǎnǎo	chìhn-sī-máh-nóuh	
Sargent	萨金特	薩金特	Sàjīntè	Saat-gām-dahk	
Sargon	萨尔贡	薩爾貢	Sà'ěrgòng	Saat-yíh-gung	sˈɑɡɒn
Sargon (old translation?)	撒珥根	撒珥根	Sā'ěrgēn	Saat-yih-gān	sˈɑɡɒn
sari	纱丽	紗麗	shālì	sā-laih	
sari	莎丽	莎麗	shālì	sā-laih	
Sarid	撒立	撒立	Sālì	Saat-lahp	sˈeɪɹɪd
Sarina	萨里娜	薩里娜	Sàlǐnà	Saat-léuih-nàh	
Sarsechim	撒西金	撒西金	Sāxījīn	Saat-sāi-gām	sˈɑsɪkɪm
Sarsfield	萨斯菲尔德	薩斯菲爾德	Sàsīfēi'ěrdé	Saat-sī-fēi-yíh-dāk	
Sartre	萨特	薩特	Sàtè	Saat-dahk	
Sasak (language)	萨萨克文	薩薩克文	Sàsàkèwén	Saat-saat-hāk-màhn	
Sascha	萨沙	薩沙	Sàshā	Saat-sā	
Sasebo	佐世保	佐世保	Zuǒshìbǎo	Jo-sai-bóu	
Sasha	萨莎	薩莎	Sàshā	Saat-sā	
sash (garment)	系带	系帶	xìdài	haih-daai	
Saskatchewan	萨斯喀彻温省	薩斯喀徹溫省	Sàsīkāchèwēnshěng	Saat-sī-haak-chit-wān-sáang	sˌəskˈætʃəwən
Saskatoon	萨斯卡通	薩斯卡通	Sàsīkǎtōng	Saat-sī-kā-tūng	
Sassari	萨萨里	薩薩里	Sàsàlǐ	Saat-saat-léuih	
sataer (Uyghur lute)	萨它尔	薩它爾	sàtā'ěr	saat-tā-yíh	
Satan	撒但	撒但	Sādàn	Saat-daahn	
Satanism	撒但崇拜	撒但崇拜	Sādàn chóngbài	Saat-daahn sùhng-baai	
Satdanov	萨达诺夫	薩達諾夫	Sàdánuòfū	Saat-daaht-nohk-fū	
satellite navigation	卫星导航	衛星導航	wèixīng dǎoháng	waih-sīng douh-hòhng	
Satir	萨提亚	薩提亞	Sàtíyà	Saat-tàih-nga	
satisfaction (level)	满意度	滿意度	mǎnyìdù	múhn-yi-douh	
satisfied with; enjoyed completely (in one's life etc)	享尽	享盡	xiǎngjìn	héung-jeuhn	
Saturnalia	农神节	農神節	Nóngshén jié	Nùhng-sàhn jit	
Saturn (god)	萨图恩	薩圖恩	Sàtú'ēn	Saat-tòuh-yān	sˈætən
Saturninus	萨图尼努斯	薩圖尼努斯	Sàtúnínǔsī	Saat-tòuh-nèih-nóuh-sī	
Saul (Bible)	扫罗	掃羅	Sǎoluó	Sou-lòh	
Saulo	绍罗	紹羅	Shàoluó	Siuh-lòh	
Saumur	索默	索默	Suǒmò	Sok-mahk	
Saurashtra (written language)	索拉什特拉文	索拉什特拉文	Suǒlāshítèlāwén	Sok-lāai-sahm-dahk-lāai-màhn	
Saussure	索绪尔	索緒爾	Suǒxù'ěr	Sok-séuih-yíh	
Savage (surname)	萨维奇	薩維奇	Sàwéiqí	Saat-wàih-kèih	
save; collect	收好	收好	shōuhǎo	sāu-hóu	
save a marriage (from breakdown)	挽救婚姻	挽救婚姻	wǎnjiù hūnyīn	wáahn-gau fān-yān	
saved my life	救了我一命	救了我一命	jiùle wǒ yī mìng	gau-líuh ngóh yāt mihng	
save electricity	省电	省電	shěngdiàn	sáang-dihn	
save enough money (for a trip etc)	储够钱	儲夠錢	chǔ gòu qián	chyúh gau chín	
save money (on purchases etc)	节省金钱	節省金錢	jiéshěng jīnqián	jit-sáang gām-chìhn	
save time	省时间	省時間	shěng shíjiān	sáang sìh-gāan	
savings account	储蓄账户	儲蓄賬戶	chǔxù zhànghù	chyúh-chūk jeung-wuh	
saving the planet	拯救地球	拯救地球	zhěngjiù dìqiú	chíng-gau deih-kàuh	
saviour	拯救者	拯救者	zhěngjiùzhě	chíng-gau-jé	sˈeɪviʌ
Savonarola	萨伏那洛拉	薩伏那洛拉	Sàfúnàluòlā	Saat-fuhk-náh-lohk-lāai	
Savoy (in France)	萨伏依	薩伏依	Sàfúyī	Saat-fuhk-yī	
Savé	萨韦	薩韋	Sàwéi	Saat-wáih	
Sawla	索拉去	索拉去	Suǒlāqù	Sok-lāai-heui	
saw neat (by cutting with a saw)	锯齐	鋸齊	jùqí	geui-chàih	
Sawston	沙士顿	沙士頓	Shāshìdùn	Sā-sih-deuhn	
Saxon (Anglo-)	撒克逊	撒克遜	Sākèxùn	Saat-hāk-seun	
Saxon (people, Anglo-)	撒克逊人	撒克遜人	Sākèxùnrén	Saat-hāk-seun-yàhn	sˈæksən
Saxony	萨克森	薩克森	Sàkèsēn	Saat-hāk-sām	
say bad things	口出恶言	口出惡言	kǒuchū'èyán	háu-chēut-ngok-yìhn	
Sayers	塞耶斯	塞耶斯	Sàiyēsī	Choi-yèh-sī	
say one thing and do another; have a double standard	说一套做一套	說一套做一套	shuō yī tào zuò yī tào	syut yāt tou jouh yāt tou	
say to him (asking)	问他说	問他說	wèn tā shuō	mahn tā syut	
Saúl	绍尔	紹爾	Shào'ěr	Siuh-yíh	
Saʽdī (Persian poet)	萨阿迪	薩阿迪	Sà'ādí	Saat-a-dihk	
Sa’id	赛义德	賽義德	Sàiyìdé	Choi-yih-dāk	
scaffolding	施工架	施工架	shīgōngjià	sī-gūng-ga	
scammer	骗徒	騙徒	piàntú	pin-tòuh	
scan code (QR etc)	扫码	掃碼	sǎomǎ	sou-máh	
Scandinavia	斯堪的纳维亚	斯堪的納維亞	Sīkāndìnàwéiyà	Sī-hām-dīk-naahp-wàih-nga	
scanner	扫描仪	掃描儀	sǎomiáoyí	sou-mìuh-yìh	
Scarlatti	斯卡拉蒂	斯卡拉蒂	Sīkǎlādì	Sī-kā-lāai-dai	
scarlet	鲜红色	鮮紅色	xiānhóngsè	sīn-hùhng-sīk	
scatter/sprinkle to	撒到	撒到	sǎdào	saat-dou	
scatter; flee in all directions	四散奔逃	四散奔逃	sìsàn-bēntáo	sei-saan-bān-tòuh	skˈætɚ
scenic area	景区	景區	jǐngqū	gíng-kēui	
scepter (lit. king stick)	王杖	王杖	wángzhàng	wòhng-jeuhng	
Sceva	士基瓦	士基瓦	Shìjīwǎ	Sih-gēi-ngáh	sˈivʌ
Schach	沙赫	沙赫	Shāhè	Sā-hāk	
Schaeffer	舍费尔	舍費爾	Shèfèi'ěr	Sé-fai-yíh	
Schafer	谢弗	謝弗	Xièfú	Jeh-fāt	
Schaff	沙夫	沙夫	Shāfū	Sā-fū	
Schalk	沙尔克	沙爾克	Shā'ěrkè	Sā-yíh-hāk	
Scharner	史加拿	史加拿	Shǐjiāná	Sí-gā-nàh	
Schellenberg	舍伦贝格	舍倫貝格	Shèlúnbèigé	Sé-lèuhn-bui-gaak	
Schenck	申克	申克	Shēnkè	Sān-hāk	
Schengen	申根	申根	Shēngēn	Sān-gān	
Schiller	席勒	席勒	Xílè	Jihk-lahk	
Schilling	希林	希林	Xīlín	Hēi-làhm	
Schillinger	希林格	希林格	Xīlíngé	Hēi-làhm-gaak	
Schimmels	希梅尔斯	希梅爾斯	Xīméi'ěrsī	Hēi-mùih-yíh-sī	
Schlieffen	希里芬	希里芬	Xīlǐfēn	Hēi-léih-fān	
Schlieffen Plan (old translation)	史利芬计划	史利芬計劃	Shǐlìfēn jìhuà	Sí-leih-fān gai-waahk	
Schloss Sanssouci; Sanssouci Palace	无忧宫	無憂宮	Wúyōugōng	Mòuh-yāu-gūng	
Schlumbergera truncata (type of cactus)	蟹爪兰	蟹爪蘭	xièzhǎolán	háaih-jáau-làahn	
Schmidt	施密特	施密特	Shīmìtè	Sī-maht-dahk	ʃmˈɪt
Schmitt	施米特	施米特	Shīmǐtè	Sī-máih-dahk	
Schneider	史奈德	史奈德	Shǐnàidé	Sí-noih-dāk	
Schneider	施奈德	施奈德	Shīnàidé	Sī-noih-dāk	ʃnˈaɪdɚ
Schoene	舍内	舍內	Shènèi	Sé-noih	
Schofield	斯科菲尔德	斯科菲爾德	Sīkēfēi'ěrdé	Sī-fō-fēi-yíh-dāk	
scholarly question	学术问题	學術問題	xuéshù wèntí	hohk-seuht mahn-tàih	
scholarly work	学术著作	學術著作	xuéshù zhùzuò	hohk-seuht jyu-jok	
school for the blind; institute for blind children	视障学校	視障學校	shìzhàng xuéxiào	sih-jeung hohk-haauh	
school report	学业报告	學業報告	xuéyè bàogào	hohk-yihp bou-gou	
Schopenhauer	叔本华	叔本華	Shūběnhuá	Sūk-bún-wàh	
Schramm	施拉姆	施拉姆	Shīlāmǔ	Sī-lāai-móuh	
Schreiber	施赖伯	施賴伯	Shīlàibó	Sī-laaih-baak	ʃɹˈeɪbɚ
Schroeder	史劳德	史勞德	Shǐláodé	Sí-lòuh-dāk	ʃɹˈəʊdɚ
Schroeder	施罗德	施羅德	Shīluódé	Sī-lòh-dāk	ʃɹˈəʊdɚ
Schubert	舒伯特	舒伯特	Shūbótè	Syū-baak-dahk	
Schultz; Schulz	舒尔茨	舒爾茨	Shū'ěrcí	Syū-yíh-chìh	
Schumann	舒曼	舒曼	Shūmàn	Syū-maahn	
Schwab	施瓦布	施瓦布	Shīwǎbù	Sī-ngáh-bou	
Schwarz; Schwartz	史瓦兹	史瓦茲	Shǐwǎzī	Sí-ngáh-jī	
Schwarz (surname)	施瓦茨	施瓦茨	Shīwǎcí	Sī-ngáh-chìh	
Schweizer	施韦策	施韋策	Shīwéicè	Sī-wáih-chaak	
Schwerin	什未林	什未林	Shíwèilín	Sahm-meih-làhm	ʃvˌɛɹˈin
Schwoerer	斯沃尔	斯沃爾	Sīwò'ěr	Sī-yūk-yíh	
Schönefeld	舍讷费尔德	舍訥費爾德	Shènèfèi'ěrdé	Sé-naht-fai-yíh-dāk	
science and technology	科学和科技	科學和科技	kēxué hé kējì	fō-hohk wòh fō-geih	
science classroom	科学课堂	科學課堂	kēxué kètáng	fō-hohk fo-tòhng	
Science Daily	科学日报	科學日報	Kēxué Rìbào	Fō-hohk Yaht-bou	
science fiction (older translation)	科学小说	科學小說	kēxué xiǎoshuō	fō-hohk síu-syut	
science genius	科学天才	科學天才	kēxué tiāncái	fō-hohk tīn-chòih	
<HK> science museum	科学馆	科學館	kēxuéguǎn	fō-hohk-gún	
Science News (American magazine)	科学新闻	科學新聞	kēxué xīnwén	fō-hohk sān-màhn	
science students	理科生	理科生	lǐkēshēng	léih-fō-sāang	
Scientific American	科学美国人	科學美國人	Kēxué Měiguórén	Fō-hohk Méih-gwok-yàhn	
scientific expedition	科学探险队	科學探險隊	kēxué tànxiǎnduì	fō-hohk taam-hím-deuih	
scientific journals	科学杂志	科學雜志	kēxué zázhì	fō-hohk jaahp-ji	
scientific literature (medical)	医学研究报告	醫學研究報告	yīxué yánjiū bàogào	yī-hohk yìhn-gau bou-gou	
(scientific) research achievements	科研成果	科研成果	kēyán chéngguǒ	fō-yìhn sìhng-gwó	
(scientific) research CV; academic CV	科研简历	科研簡歷	kēyán jiǎnlì	fō-yìhn gáan-lihk	
(scientific) research project	科研项目	科研項目	kēyán xiàngmù	fō-yìhn hohng-muhk	
(scientific) research team	科研团队	科研團隊	kēyán tuánduì	fō-yìhn tyùhn-deuih	
scientific societies	科学协会	科學協會	kēxué xiéhuì	fō-hohk hip-wúi	
scientism (science-ideology)	科学主义	科學主義	kēxuézhǔyì	fō-hohk-jyú-yih	
scientists (plural, old translation?)	科学家们	科學家們	kēxuéjiāmen	fō-hohk-gā-mùhn	
Scipio	西皮奥	西皮奧	Xīpí'ào	Sāi-pèih-ou	
scleroderma	硬皮病	硬皮病	yìngpíbìng	ngaahng-pèih-behng	
<TW?> scleroderma	硬皮症	硬皮症	yìngpízhèng	ngaahng-pèih-jing	
scoliosis	脊椎侧弯	脊椎側彎	jǐzhuīcèwān	jek-jēui-jāk-wāan	
scorched by wind	吹焦	吹焦	chuījiāo	chēui-jīu	
scorching (dry+wind)	旱风	旱風	hànfēng	hóhn-fūng	
score a goal (in football/soccer)	进球	進球	jìnqiú	jeun-kàuh	
scorpion	蠍子	蠍子	xiēzi	hit-jí	
Scots (language)	苏格兰语	蘇格蘭語	Sūgélányǔ	Sōu-gaak-làahn-yúh	
Scott	史葛	史葛	Shǐgé	Sí-got	
Scott	斯科特	斯科特	Sīkētè	Sī-fō-dahk	
Scottish Gaelic	苏格兰盖尔语	蘇格蘭蓋爾語	Sūgélán Gài'ěryǔ	Sōu-gaak-làahn Goi-yíh-yúh	
Scranton	斯克兰顿	斯克蘭頓	Sīkèlándùn	Sī-hāk-làahn-deuhn	
scrape clean	刮净	刮凈	guājìng	gwaat-jehng	
scrape well (with a wood scraper etc)	削好	削好	xiāohǎo	seuk-hóu	
scratch under (in marking a line on the ground etc)	划下	劃下	huàxia	waahk-hah	
screen	萤幕	螢幕	yíngmù	yìhng-mohk	
screen off; cover over	覆庇	覆庇	fùbì	fūk-bei	
<comp./PRC> screen reader	读屏软件	讀屏軟件	dú píng ruǎnjiàn	duhk pìhng yúhn-gín	
screenshot	截图	截圖	jiétú	jiht-tòuh	
scribes	抄经士	抄經士	chāojīngshì	chāau-gīng-sih	
Scribner	斯克里布纳	斯克里布納	Sīkèlǐbùnà	Sī-hāk-léih-bou-naahp	
Scripps	斯克里普斯	斯克里普斯	Sīkèlǐpǔsī	Sī-hāk-léih-póu-sī	
<comp.> scripting language	脚本语言	腳本語言	jiǎoběn yǔyán	geuk-bún yúh-yìhn	
Scythia	西徐亚	西徐亞	Xīxúyà	Sāi-chèuih-nga	
Scythian 	西古提人	西古提人	Xīgǔtírén	Sāi-gú-tàih-yàhn	sˈɪθiən
Scythians (people)	西徐亚人	西徐亞人	Xīxúyàrén	Sāi-chèuih-nga-yàhn	
seah (dry measure, possibly 7.33 liters)	细亚	細亞	xìyà	sai-nga	
sealant (construction/repair)	密封材料	密封材料	mìfēng cáiliào	maht-fūng chòih-líu	
sealskin	海豹皮	海豹皮	hǎibàopí	hói-paau-pèih	
Sea of Galilee	加利利海	加利利海	Jiālìlìhǎi	Gā-leih-leih-hói	
sea of the Arabah	亚拉巴海	亞拉巴海	Yàlābāhǎi	Nga-lāai-bā-hói	
"search and replace" (computer operation)	查找和替换	查找和替換	cházhǎo hé tìhuàn	chàh-jáau wòh tai-wuhn	
Search for Extra-Terrestrial Intelligence; SETI	探索外星智能	探索外星智能	Tànsuǒ Wàixīng Zhìnéng	Taam-sok Ngoih-sīng Ji-nàhng	
search (manually)	查查	查查	chácha	chàh-chàh	
search results	检索结果	檢索結果	jiǎnsuǒ jiéguǒ	gím-sok git-gwó	
search (survey) through	测透	測透	cètòu	chāak-tau	
searing wind	热风	熱風	rèfēng	yiht-fūng	
Searle	希尔勒	希爾勒	Xī'ěrlè	Hēi-yíh-lahk	
seaside	海旁	海旁	hǎipáng	hói-pòhng	
<Cantonese?> seasonal; in season (of fruit etc)	当造	當造	dāngzào	dōng-jouh	
seasonal affective disorder; SAD	季节性情绪失调	季節性情緒失調	jìjiéxìng qíngxù shītiáo	gwai-jit-sing chìhng-séuih sāt-tìuh	
seasonal work (lit. short-time work)	短期工作	短期工作	duǎnqī gōngzuò	dyún-kèih gūng-jok	
sea travel (in general; maritime traffic)	海上交通	海上交通	hǎishang jiāotōng	hói-seuhng gāau-tūng	
Seba	西巴	西巴	Xībā	Sāi-bā	sˈibʌ
Sebam	西班	西班	Xībān	Sāi-bāan	sˈibəm
Sebastian	塞巴斯帝安	塞巴斯帝安	Sàibāsīdì'ān	Choi-bā-sī-dai-ngōn	
Sebastián	瓦斯蒂安	瓦斯蒂安	Wǎsīdì'ān	Ngáh-sī-dai-ngōn	
Secacah	西迦迦	西迦迦	Xījiājiā	Sāi-gā-gā	sɪkˈeɪkʌ
second-generation Chinese (children of emigrants)	二代华人	二代華人	èr dài Huárén	yih doih Wàh-yàhn	
second-generation Chinese (children of emigrants)	第二代华人	第二代華人	dì-èr dài Huárén	daih-yih doih Wàh-yàhn	
second-hand smoke	二手烟	二手煙	èrshǒuyān	yih-sáu-yīn	
Second Adventists	基督复临派	基督復臨派	Jīdū Fùlín Pài	Gēi-dūk Fuhk-làhm Paai	
second (assistant) overseer	副监督	副監督	fùjiāndū	fu-gāam-dūk	
second chariot (lit. assist car)	副车	副車	fùchē	fu-chē	
second coming; return	复临	復臨	fùlín	fuhk-làhm	
second half of one's lifetime	下半生	下半生	xiàbànshēng	hah-bun-sāang	
second language acquisition	二语习得	二語習得	èr yǔ xídé	yih yúh jaahp-dāk	
second law of thermodynamics	热力学第二定律	熱力學第二定律	rèlìxué dì-èr dìnglǜ	yiht-lihk-hohk daih-yih dihng-leuht	
Second (of a Bible book like Corinthians)	后书	後書	Hòushū	Hauh-syū	
second place	次位	次位	cìwèi	chi-wái	
secret; unknown to anyone	不为人知	不為人知	bùwéirénzhī	bāt-wàih-yàhn-jī	
secret art (of magic-practicing priests)	秘术	秘術	mìshù	bei-seuht	
secretly sell	偷偷卖掉	偷偷賣掉	tōutōu màidiào	tāu-tāu maaih-diuh	
secret society	秘密组织	秘密組織	mìmì zǔzhī	bei-maht jóu-jīk	
